order_item_id,order_id,product_id,quantity
1,1,44,3
2,1,8,1
3,1,42,4
4,2,14,3
5,2,37,1
6,3,23,3
7,3,38,4
8,4,22,5
9,4,7,5
10,4,22,5
11,4,20,1
12,5,45,5
13,5,25,4
14,6,44,5
15,7,35,5
16,7,10,3
17,7,12,3
18,7,47,4
19,8,29,2
20,8,26,5
21,8,34,2
22,9,35,3
23,9,36,2
24,10,18,2
25,10,47,2
26,10,8,5
27,10,24,1
28,11,14,3
29,11,28,4
30,11,47,1
31,11,25,3
32,12,29,5
33,12,24,4
34,12,21,2
35,13,9,2
36,14,15,1
37,14,15,5
38,14,30,2
39,14,35,3
40,15,46,5
41,15,14,2
42,15,41,2
43,16,44,5
44,16,28,3
45,17,7,3
46,17,9,3
47,17,21,5
48,17,49,5
49,18,11,3
50,18,7,1
51,18,44,2
52,19,28,5
53,19,35,4
54,20,35,2
55,20,18,3
56,20,2,2
57,21,24,5
58,21,17,2
59,21,33,4
60,21,35,2
61,22,33,1
62,22,6,4
63,23,22,5
64,24,44,1
65,25,28,5
66,25,22,4
67,25,42,4
68,25,17,5
69,26,19,1
70,26,34,4
71,26,6,5
72,26,2,3
73,27,5,4
74,28,42,2
75,28,16,3
76,29,24,1
77,30,9,4
78,30,50,3
79,31,14,5
80,31,46,3
81,31,6,2
82,31,17,3
83,32,38,1
84,32,35,1
85,32,28,3
86,32,13,5
87,33,40,5
88,34,33,5
89,34,5,2
90,34,49,4
91,34,32,3
92,35,38,2
93,36,13,4
94,37,46,2
95,37,33,2
96,37,30,2
97,37,6,4
98,38,32,1
99,38,23,4
100,38,14,2
101,38,8,1
102,39,9,3
103,40,46,1
104,40,12,3
105,40,5,2
106,41,28,5
107,42,39,1
108,42,49,2
109,42,31,3
110,42,47,1
111,43,30,1
112,43,35,5
113,43,19,1
114,43,49,4
115,44,41,4
116,44,43,4
117,44,14,4
118,45,46,2
119,45,6,4
120,45,28,3
121,46,40,1
122,46,1,3
123,47,3,2
124,48,24,5
125,49,10,5
126,49,1,2
127,49,7,4
128,49,48,5
129,50,39,4
130,50,6,2
131,50,14,1
132,50,43,1
133,51,7,4
134,52,18,4
135,52,4,2
136,52,37,4
137,52,11,5
138,53,8,1
139,54,3,3
140,55,14,1
141,55,40,2
142,56,40,2
143,56,31,3
144,56,21,5
145,56,50,2
146,57,20,1
147,57,15,4
148,57,48,2
149,57,7,5
150,58,45,3
151,58,24,4
152,58,28,2
153,58,11,5
154,59,23,2
155,60,48,5
156,60,23,3
157,60,30,5
158,60,14,1
159,61,8,5
160,62,48,4
161,62,10,2
162,62,35,3
163,63,7,5
164,63,44,1
165,64,19,3
166,65,28,5
167,65,50,2
168,66,5,3
169,66,41,3
170,67,36,5
171,67,1,4
172,67,14,3
173,67,31,4
174,68,24,2
175,68,34,4
176,69,48,2
177,69,3,4
178,70,42,1
179,71,48,5
180,71,28,3
181,71,44,2
182,71,14,5
183,72,18,4
184,72,18,1
185,72,30,4
186,73,4,1
187,74,9,4
188,74,22,2
189,74,12,2
190,75,5,2
191,75,4,2
192,75,50,2
193,75,44,4
194,76,50,3
195,76,24,5
196,77,42,5
197,78,26,2
198,78,9,2
199,78,1,2
200,78,13,5
201,79,41,1
202,79,29,5
203,79,24,2
204,79,13,4
205,80,47,4
206,81,50,1
207,81,48,5
208,81,12,3
209,81,22,1
210,82,12,1
211,82,6,5
212,82,37,5
213,82,22,2
214,83,22,4
215,84,32,3
216,84,21,5
217,85,13,4
218,86,7,5
219,86,22,3
220,86,8,1
221,86,47,2
222,87,25,2
223,88,10,4
224,88,30,4
225,89,2,5
226,89,41,3
227,89,37,4
228,89,34,4
229,90,17,5
230,90,42,4
231,91,14,1
232,91,41,1
233,92,3,5
234,93,44,5
235,94,20,1
236,94,34,5
237,94,45,3
238,94,2,1
239,95,4,5
240,95,26,5
241,95,30,2
242,95,8,4
243,96,34,4
244,96,31,3
245,96,12,1
246,96,48,5
247,97,31,3
248,98,35,1
249,99,24,3
250,99,33,2
251,99,30,1
252,100,38,3
253,100,7,2
254,100,5,2
255,100,48,5
256,101,49,5
257,102,43,4
258,102,28,5
259,102,47,3
260,103,41,3
261,103,43,2
262,103,33,2
263,104,28,5
264,104,18,1
265,104,49,1
266,104,5,4
267,105,12,5
268,105,42,4
269,106,18,4
270,106,15,5
271,106,40,2
272,107,10,3
273,107,27,4
274,107,12,4
275,107,22,3
276,108,9,3
277,109,26,1
278,110,23,3
279,111,29,4
280,111,41,4
281,112,38,4
282,112,20,4
283,112,17,5
284,113,6,1
285,114,24,1
286,114,15,2
287,115,1,3
288,115,36,4
289,115,7,2
290,116,1,2
291,117,27,1
292,117,40,3
293,117,8,3
294,118,25,4
295,118,6,3
296,118,25,1
297,118,35,5
298,119,48,2
299,119,32,4
300,119,21,5
301,120,50,2
302,120,31,5
303,121,23,3
304,121,46,1
305,122,23,2
306,122,50,1
307,122,38,5
308,123,45,1
309,123,33,2
310,124,32,1
311,124,49,3
312,124,9,5
313,125,41,5
314,125,5,4
315,126,5,1
316,126,18,2
317,127,42,2
318,128,41,4
319,128,16,4
320,128,47,5
321,128,6,1
322,129,3,1
323,129,41,1
324,129,50,1
325,130,1,1
326,131,5,1
327,131,29,3
328,131,9,5
329,131,6,5
330,132,17,4
331,133,11,2
332,133,13,3
333,133,26,1
334,133,29,1
335,134,42,4
336,134,42,3
337,134,44,1
338,135,39,1
339,135,2,1
340,135,7,5
341,135,20,2
342,136,46,5
343,137,6,5
344,137,34,1
345,137,43,2
346,138,7,1
347,138,28,4
348,138,8,3
349,139,49,4
350,139,25,2
351,139,2,3
352,139,21,3
353,140,49,5
354,140,18,4
355,140,41,1
356,141,44,2
357,141,9,5
358,141,42,5
359,141,32,3
360,142,47,1
361,143,14,2
362,143,42,1
363,144,1,5
364,144,23,2
365,144,11,5
366,144,2,4
367,145,21,3
368,146,11,2
369,146,3,1
370,146,38,4
371,146,28,1
372,147,32,5
373,147,26,2
374,147,33,2
375,147,16,1
376,148,1,4
377,149,13,2
378,149,7,5
379,150,26,3
380,150,33,5
381,150,19,2
382,150,34,2
383,151,49,3
384,151,34,3
385,151,13,3
386,151,13,5
387,152,7,2
388,152,45,1
389,153,1,2
390,154,49,5
391,154,41,2
392,155,3,4
393,155,40,5
394,155,50,1
395,156,5,5
396,156,18,3
397,157,45,1
398,157,11,4
399,157,45,4
400,158,15,1
401,158,5,4
402,158,10,4
403,158,16,5
404,159,16,3
405,159,6,1
406,159,45,1
407,160,48,4
408,160,44,5
409,160,41,4
410,160,33,4
411,161,4,1
412,162,9,5
413,163,6,2
414,163,43,5
415,164,10,5
416,165,36,5
417,165,25,1
418,165,41,5
419,166,23,4
420,166,39,5
421,166,15,3
422,167,40,5
423,167,44,3
424,167,20,3
425,167,4,2
426,168,8,3
427,168,38,3
428,169,31,1
429,169,39,2
430,169,4,2
431,170,38,3
432,170,19,4
433,170,33,2
434,170,26,1
435,171,34,5
436,171,39,1
437,171,14,4
438,171,44,4
439,172,43,3
440,173,43,4
441,173,16,5
442,174,26,5
443,174,34,3
444,175,25,3
445,175,33,2
446,176,25,5
447,177,44,2
448,177,24,2
449,178,18,1
450,178,16,4
451,179,32,5
452,180,2,2
453,180,30,5
454,180,37,5
455,181,38,4
456,181,38,3
457,181,45,3
458,182,32,2
459,182,16,2
460,183,17,5
461,183,14,1
462,183,38,2
463,183,32,3
464,184,23,3
465,185,3,3
466,185,17,5
467,186,8,2
468,186,46,1
469,187,14,5
470,188,39,3
471,188,42,5
472,188,21,4
473,188,12,2
474,189,40,1
475,189,21,4
476,190,16,1
477,190,5,3
478,190,50,5
479,191,23,3
480,191,37,5
481,191,34,4
482,191,47,3
483,192,21,3
484,192,42,2
485,192,44,5
486,193,31,3
487,193,13,5
488,193,47,4
489,193,46,2
490,194,24,5
491,194,20,2
492,195,28,5
493,195,36,5
494,196,27,5
495,197,28,3
496,198,6,2
497,198,20,5
498,198,19,3
499,198,49,3
500,199,4,1
501,200,25,2
502,200,39,2
503,201,19,2
504,201,26,5
505,201,45,3
506,202,3,3
507,202,49,2
508,203,10,4
509,203,47,1
510,204,9,2
511,205,30,3
512,205,31,2
513,206,35,3
514,206,5,4
515,206,32,3
516,207,45,2
517,207,19,1
518,207,32,5
519,208,7,4
520,208,49,3
521,208,23,1
522,208,29,5
523,209,38,3
524,210,35,3
525,210,25,5
526,210,33,5
527,210,39,2
528,211,29,4
529,212,44,2
530,212,3,2
531,212,43,4
532,212,31,3
533,213,6,1
534,213,27,3
535,213,10,1
536,213,4,5
537,214,16,5
538,215,43,4
539,215,47,4
540,215,9,5
541,215,38,1
542,216,4,4
543,217,31,1
544,217,21,3
545,217,7,1
546,218,48,2
547,219,1,1
548,219,37,5
549,219,9,3
550,220,42,1
551,221,50,1
552,221,30,2
553,221,6,3
554,222,42,3
555,223,47,4
556,223,33,4
557,223,30,1
558,223,11,4
559,224,21,1
560,224,12,2
561,225,24,1
562,225,43,1
563,225,8,2
564,225,8,3
565,226,36,1
566,226,46,4
567,227,32,3
568,228,25,4
569,229,41,4
570,229,38,5
571,230,31,2
572,231,10,5
573,232,2,3
574,232,2,3
575,232,2,1
576,233,7,5
577,234,39,1
578,234,22,2
579,235,48,2
580,235,28,2
581,235,12,4
582,236,35,1
583,237,43,1
584,237,12,2
585,237,18,1
586,238,21,4
587,239,18,5
588,239,29,1
589,239,23,1
590,240,44,1
591,240,15,1
592,240,21,3
593,241,41,1
594,241,4,1
595,241,48,1
596,241,17,3
597,242,34,4
598,242,41,4
599,242,12,4
600,242,15,1
601,243,39,3
602,243,8,1
603,244,23,1
604,244,46,4
605,244,42,3
606,244,47,4
607,245,8,5
608,245,2,1
609,245,49,4
610,246,26,4
611,246,16,3
612,246,10,5
613,246,18,3
614,247,34,1
615,248,19,1
616,248,35,5
617,248,50,2
618,249,30,3
619,250,22,1
620,250,16,2
621,251,12,1
622,251,47,1
623,251,22,4
624,251,25,4
625,252,22,5
626,252,36,3
627,252,21,5
628,253,50,5
629,253,26,1
630,254,43,4
631,254,46,4
632,255,22,1
633,255,47,3
634,256,34,5
635,256,46,5
636,256,42,1
637,257,36,5
